"","extinct","occurrences","NoSpecies","K_Numeric","Min_Numeric","C_Numeric","C_Cnumeric","S_Numeric","SC_Numeric","O_Numeric","T_Numeric","M_Numeric","R_Numeric","Re_Numeric","Phylum","MinD_Numeric","MaxD_Numeric","System_Numeric"
"Spirorbis",0,14,2,3,1,2,0.2,2,0.25,1,2,5,4,1,"Annelida",2,2,1
"Waldekella",1,3,1,2,3,2,0.23,2,0.28,2,2,2,3,3,"Arthropoda",4,4,3
"Polycope",0,19,6,2,3,2,0.16,2,0.2,1,2,2,3,3,"Arthropoda",2,4,3
"Genus A",1,4,1,2,3,2,0.16,2,0.2,1,2,2,3,3,"Arthropoda",2,2,1
"Discoidella",0,7,1,2,3,2,0.24,2,0.3,2,2,2,3,3,"Arthropoda",4,4,3
"Amphissites",0,6,3,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,2,1
"Kegelites",1,6,2,2,3,2,0.36,2,0.45,2,2,2,3,3,"Arthropoda",5,0,1
"Neoamphissites",1,5,1,2,3,2,0.36,2,0.45,2,2,2,3,3,"Arthropoda",5,0,1
"Permokegelites",1,4,1,2,3,2,0.39,2,0.49,2,2,2,3,3,"Arthropoda",4,4,3
"Polytylites",1,10,2,2,3,2,0.72,2,0.89,1,2,2,3,3,"Arthropoda",2,2,2
"Cyathus",0,83,6,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",1,4,2
"Libumella",1,3,2,2,3,2,0.28,2,0.35,2,2,2,3,3,"Arthropoda",4,4,3
"Coelonella",1,2,1,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",5,0,1
"Tubulikirkbya",1,6,2,2,3,2,0.14,2,0.17,2,2,2,3,3,"Arthropoda",4,4,3
"Hollinella",0,62,11,2,3,2,0.62,2,0.77,1,2,2,3,3,"Arthropoda",1,4,2
"Indivisia",1,4,3,2,3,2,0.62,2,0.77,1,2,2,3,3,"Arthropoda",2,2,1
"Semipetasus",1,3,1,2,3,2,0.28,2,0.35,2,2,2,3,3,"Arthropoda",5,0,1
"Aurikirkbya",1,9,4,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,4,3
"Kirkbya",0,10,6,2,3,2,0.28,2,0.35,2,2,2,3,3,"Arthropoda",2,4,3
"Knightina",0,12,5,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,4,1
"Reviya",0,5,2,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,4,1
"Scutikirkbya",1,7,2,2,3,2,0.28,2,0.35,2,2,2,3,3,"Arthropoda",2,2,1
"Shleesha",0,10,4,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,2,1
